Year,World_Barley_Harvest,US_Barley_Harvest%,World_Beef_Slaughter,US_Beef_Slaughter%,World_Corn_Harvest,US_Corn_Harvest%,World_Cotton_Harvest,US_Cotton_Harvest%,World_Pork_Slaughter,US_Pork_Slaughter%,World_Poultry,US_Poultry%,World_Rice_Harvest,US_Rice_Harvest%,World_Sorghum_Harvest,US_Sorghum_Harvest%,World_Soybeans_Harvest,US_Soybeans_Harvest%,World_Soybeans_meal_Harvest,US_Soybeans_meal_Harvest%,World_Soybeans_oil_Harvest,US_Soybeans_oil_Harvest%,World_Wheat_Harvest,US_Wheat_Harvest%
2016,49293,2.11,236869,0.0,186912,18.78,29708,12.95,1232173,9.59,114184,18.59,161625,0.78,44291,5.63,119004,28.12,287515,18.0,287210,18.02,222205,7.99
2017,48122,1.64,242741,0.0,183723,18.22,33408,13.45,1233255,9.84,116766,18.54,161658,0.59,40005,5.1,123837,29.25,294704,18.98,294039,19.02,219704,6.91
2018,48759,1.64,246795,0.0,183759,18.01,33200,12.83,1257874,9.94,119243,18.47,161985,0.72,41366,4.98,129420,27.63,308816,18.24,308201,18.28,216621,7.4
2019,49890,1.78,248547,0.0,187854,18.23,34241,14.53,1272825,10.24,122197,18.35,162666,0.67,41892,4.83,127431,25.98,312447,18.07,312447,18.07,220154,7.92
2020,50069,1.78,262541,0.0,190124,18.22,34222,13.13,1227793,10.76,124368,18.01,162819,0.64,42489,4.76,129017,25.66,319936,17.86,319936,17.86,221021,7.74
2021,50171,1.86,265166,0.0,191756,18.07,34915,12.87,1238928,10.73,126884,17.85,163040,0.64,42980,4.8,130697,25.48,326443,17.67,326443,17.67,221709,7.65
2022,50238,1.85,267679,0.0,193644,17.89,36117,12.45,1249213,10.74,129406,17.65,163400,0.65,43352,4.76,132902,25.18,334433,17.41,334433,17.41,222276,7.56
2023,50393,1.93,270155,0.0,194980,17.77,36521,12.43,1260644,10.72,132022,17.43,163722,0.65,43744,4.72,135052,24.93,343484,17.11,343484,17.11,222909,7.53
2024,50477,1.92,272532,0.0,195732,17.59,36708,12.48,1274536,10.64,134916,17.23,164002,0.65,44283,4.66,136909,24.74,352015,16.93,352015,16.93,223710,7.51
2025,50604,1.92,274554,0.0,196893,17.49,36972,12.51,1283096,10.63,137767,17.01,164246,0.65,44799,4.7,138542,24.6,360090,16.74,360090,16.74,224195,7.4
2026,50772,1.91,276638,0.0,198210,17.38,37138,12.57,1293140,10.65,140474,16.79,164512,0.65,45262,4.65,139812,24.37,367607,16.58,367607,16.58,224976,7.38
2027,50877,1.91,278708,0.0,198931,17.21,37402,12.59,1305359,10.62,143223,16.54,164798,0.65,45793,4.59,141281,24.26,375622,16.41,375622,16.41,225519,7.29
2028,50996,1.9,280682,0.0,199884,17.03,37696,12.6,1316399,10.64,145852,16.31,165036,0.65,46278,4.55,142713,24.02,384032,16.19,384032,16.19,226102,7.27
